201511157	9	8	7	5	4	5	4	42
201610807	8	5	6	10	5	3	4	41
201610813	6	10	6	10	5	7	8	52
201610919	8	10	7	10	5	7	8	55
201620672	6	1	1	10	3	7	5	33
201710102	6	10	9	10	5	7	8	55
201710493	9	10	8	6	5	7	8	53
201710753	7	7	0	0	4.5	6.5	3	28
201710981	9	10	9	10	5	7	8	58
201711252	8	5	5	10	4	4	2	38
201711280	6	8	6	5	5	7	6	43
201720047	7	7	6	6	4	6.5	4.5	41
201720386	4	2	5	10	4	7	7	39
201730099	8	2	6	5	4	7	4	36
201810062	8	10	6	6	5	7	6	48
201810105	9	10	6	10	5	5	7	52
201810131	5	10	6	9	3	7	7	47
201810296	9	10	6	6	5	7	4	47
201810417	10	8	9	10	5	7	8	57
201810544	5	8	9	9	5	3	5	44
201810810	9	10	9	10	3	7	7	55
201810845	7	10	8	5	3	7	7	47
201810903	7	10	6	10	4	7	7	51
201810923	9	10	8	10	5	7	7	56
201820021	6	5	3	5	5	6	5	35
201820293	3	8	8	9	5	7	7	47
201820416	9	10	9	10	5	7	8	58
